Rest_id,Rest_name,Cuisines,CFT,Locality,Total_Orders,Late_Night_Orders,Priority,Zomato_Ratings,Zomato_total_votes
211,Tandoor Hut,"North Indian,Chinese",400,5th Block,1624,67,P1,3.8,885
212,Hunan,"Chinese,Seafood,Thai",1000,5th Block,103,2,P1,4,1598
213,Maria's Goan Kitchen,Goan,500,7th Block,269,-,P2,3.5,222
214,Kritunga,"Andhra,Biryani",500,5th Block,1711,-,P1,3.5,690
216,China Bowl,Chinese,700,6th Block,543,-,P2,3.6,378
218,Anand Sweets and Savouries,"North Indian,Fast Food",300,5th Block,1793,-,P1,-,-
219,Anjappar,"Chettinad,South Indian",600,4th B Block,1379,19,P1,3.6,975
221,Tunday Kababi,"Lucknowi,Mughlai",500,5th Block,1008,55,P1,3.5,885
223,Truffles,"Cafe,American",650,5th Block,7235,-,P0,4.7,9958
225,Chalo Punjab,North Indian,750,6th Block,557,-,P2,3.8,588
226,Delhi Food Point,North Indian,250,1st Block,2578,-,P2,3.3,347
227,Via Milano,Italian,1500,4th Block,222,37,P1,4.1,1248
232,Hole in the Wall,"American,Cafe",650,4th Block,2894,-,P0,-,-
234,Uday Sweets,Fast Food,100,5th Block,709,-,BLANK,-,-
235,Oriental Kitchen,"Chinese,Thai",1000,4th Block,147,-,P2,3.8,962
237,Anupam's Coast II Coast,"North Indian,Chinese,Mangalorean,Seafood",1000,6th Block,841,-,P1,-,-
238,Mad Over Donuts,Desserts,350,7th Block,371,-,P2,4,505
240,Mustard Cafe,"Continental,Cafe",600,1A Block,184,-,P2,3.7,560
241,Anjappar,"Chettinad,South Indian",600,100 Feet Road,1209,-,P2,3.3,548
243,Chakum Chukum,Fast Food,400,100 Feet Road,2515,224,P1,3.8,1261
244,Curries and Pickles,"North Indian,Andhra",400,Double Road,455,-,P3,-,-
246,Kim Lee,Chinese,650,Double Road,606,1,P1,3.4,232
248,New Punjabi Hotel,North Indian,250,80 Feet Road,3991,-,P2,3.2,71
249,NH8,"North Indian,Rajasthani,Gujarati",700,80 Feet Road,280,-,P1,3.9,1663
250,Sethji Homemade Food,North Indian,200,100 Feet Road,1022,-,P1,2.8,195
251,Singh Saab,North Indian,700,100 Feet Road,314,-,P2,3.2,199
